Wave number (cm-1),Transmitance (%),,
,PB made with 25 g rice bran,PB made with 50 g rice bran,PB made with 100 g rice bran
721.277,-1.54138,-1.86793,-2.04914
721.7591,-1.52458,-1.84996,-2.02787
722.2412,-1.50793,-1.83137,-2.00687
722.7234,-1.49171,-1.812,-1.9862
723.2055,-1.47623,-1.79178,-1.96584
723.6876,-1.46168,-1.77077,-1.94563
724.1698,-1.44804,-1.74908,-1.92538
724.6519,-1.43501,-1.72686,-1.90491
725.134,-1.42212,-1.70427,-1.88406
725.6162,-1.40895,-1.68138,-1.86278
726.0983,-1.39521,-1.65827,-1.84111
726.5804,-1.38092,-1.63503,-1.81923
727.0626,-1.36638,-1.61176,-1.79737
727.5447,-1.35192,-1.58867,-1.77578
728.0269,-1.33776,-1.56599,-1.75471
728.509,-1.32389,-1.54397,-1.73424
728.9911,-1.31,-1.52281,-1.71435
729.4733,-1.29562,-1.50252,-1.69488
729.9554,-1.28036,-1.483,-1.67557
730.4376,-1.26401,-1.46401,-1.65614
730.9197,-1.24665,-1.44522,-1.63637
731.4019,-1.22864,-1.4263,-1.61614
731.884,-1.21042,-1.40703,-1.59538
732.3661,-1.19243,-1.38726,-1.57415
732.8483,-1.17501,-1.36698,-1.55252
733.3304,-1.15837,-1.34625,-1.53052
733.8125,-1.14268,-1.32519,-1.50825
734.2947,-1.12813,-1.30396,-1.48571
734.7768,-1.11485,-1.28262,-1.46293
735.2589,-1.10287,-1.26119,-1.43988
735.7411,-1.09207,-1.23965,-1.41659
736.2232,-1.08205,-1.21797,-1.39305
736.7053,-1.0722,-1.19618,-1.36928
737.1875,-1.06192,-1.17439,-1.34533
737.6696,-1.05075,-1.15281,-1.3213
738.1517,-1.03859,-1.13172,-1.29734
738.6339,-1.02574,-1.1114,-1.27364
739.116,-1.01274,-1.09204,-1.25043
739.5981,-1.00017,-1.07373,-1.2279
740.0803,-0.98845,-1.05635,-1.20618
740.5624,-0.97763,-1.0397,-1.18534
741.0446,-0.96744,-1.02349,-1.16534
741.5267,-0.95748,-1.00753,-1.14616
742.0089,-0.94732,-0.99171,-1.12769
742.491,-0.93673,-0.9761,-1.10987
742.9731,-0.9257,-0.96086,-1.09264
743.4553,-0.91436,-0.94616,-1.0759
743.9374,-0.90286,-0.93213,-1.05955
744.4196,-0.89133,-0.91874,-1.04339
744.9017,-0.87977,-0.90587,-1.02726
745.3838,-0.86812,-0.89329,-1.01095
745.866,-0.85644,-0.88075,-0.99439
746.3481,-0.84485,-0.8681,-0.97758
746.8302,-0.8336,-0.85527,-0.96065
747.3124,-0.82299,-0.84233,-0.94385
747.7945,-0.81318,-0.82939,-0.92739
748.2766,-0.80409,-0.81659,-0.91148
748.7588,-0.79551,-0.80404,-0.89615
749.2409,-0.78705,-0.79181,-0.88136
749.723,-0.77839,-0.77994,-0.86696
